,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
219,LITH03626751-ACD001-094.5,Dacite,Rock,-30.53,122.08,341,-94.0,-94.0,Unknown,Acra,,,,,104.61,,,160.0,193.38,6300.0,,,,,168.66,23.48,,,549.0,,45.9,75.79,35.73,,,,,,,,,,,0.09,68.98,0.12,0.41,0.82,1.04,0.3,0.08,8.44,15.87,0.19,3.61
220,LITH03626751-BSD079-385.05,Dacite,Rock,-30.37,121.63,381,-385.0,-385.0,Unknown,Black Swan,"Northern flank, lower felsics",,,,179.81,,,52.0,27.17,4500.0,,,,,47.59,11.63,,,37.0,,693.87,573.29,11.49,,,,,,,,,,,0.25,67.57,0.04,2.4,0.63,0.27,0.5,0.005410748,2.25,15.99,7.71,2.3
221,LITH03626751-AMP-HM-120524-020I,Basalt,Rock,-21.395964,117.15457,330,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.27,0.96,4.97,127.02,0.77,4.53,83.29,78.97,100.0,1.1,22.59,0.0,2.93,189.49,27.07,4.44,45.7,107.0,20.51,202.72,561.52,50.63,0.44,5.24,0.46,,3.85,29.15,,7.01,8.22,0.83,0.1,56.81,0.12,6.77,0.83,1.0,1.62,0.01,8.11,15.7,3.47,5.41
222,LITH03626751-AMP-HM-120524-020B,Basalt,Rock,-21.396515,117.1547,329,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",1.9,0.69,2.82,86.02,0.49,2.87,237.08,490.9,52.49218,0.62,9.65,0.0,1.65,152.11,16.36,2.37,19.51,65.0,10.38,13.42,52.66,34.95,0.25,2.65,0.23,,2.62,15.73,,4.37,5.24,0.62,0.05,72.02,0.06,5.88,0.51,0.81,0.05,0.009441424,6.63,9.64,0.06,4.23
223,LITH03626751-LNN009910,Andesite,Rock,-28.58,121.17,426,-214.5,-214.5,Unknown,Sullivans Prospect,"Sullivans Ultramafic Unit, S Central Cumulate Zone, ST BARBARA LTD",,,,157.37,,,,138.26,29800.0,,,0.0,,288.36,,,,368.0,,,0.0,,,,,,,,,,,,0.06,61.85,0.13,1.41,0.98,0.83,2.32,0.05,6.79,22.05,1.27,3.87
227,LITH03626751-MKD53-474,Dacite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"Constriction 1, Constriction 1, BHP BILLITON LTD",,,,,,,25.04,5.01,51.16244,,,,,,,,,80.0,,,0.0,,,,,,,,,,,,0.0,66.48,0.07,7.21,0.63,0.31,0.51,0.01,2.52,14.52,4.95,2.76
228,LITH03626751-FFD084-219.7,Rhyolite,Rock,-32.41,119.69,429,0.0,0.0,Unknown,Flying Fox,"Western, U1",1.1,0.8,1.8,111.0,0.3,3.2,69.0,23.0,1200.0,0.3,17.0,,1.1,27.0,9.0,2.3,32.0,,12.5,315.0,48.0,62.0,0.2,3.2,0.2,,,,,,,,0.0,71.73,0.22,6.43,0.23,0.15,0.74,0.0,1.27,15.21,0.42,3.62
229,LITH03626751-AMP-HM-120523-016D,Basalt,Rock,-22.507317,117.67918,643,0.0,0.0,Unknown,Railroad,"North of Tom Price Syncline, South Hamersley Basin",4.63,1.36,6.52,120.45,1.07,5.91,117.2,295.12,65.19758,1.56,11.06,0.0,3.93,265.87,39.71,4.67,20.07,193.0,17.14,87.14,1648.08,52.26,0.58,3.65,0.59,,3.47,36.89,,1.23,6.29,0.65,0.2,49.99,0.17,5.91,1.72,1.35,5.25,0.02,10.96,15.08,0.15,9.16
230,LITH03626751-AMP-HM-120522-006A,Basalt,Rock,-22.92235,117.36765,442,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.36,1.61,2.32,45.49,0.41,2.96,86.84,574.36,600.0,0.47,18.71,0.0,1.07,137.5,11.88,3.37,38.87,219.0,19.12,715.75,517.66,42.55,0.15,4.73,0.16,,1.34,15.5,,0.99,6.09,0.72,0.07,51.51,0.16,13.08,0.62,0.91,1.95,0.03,7.44,15.58,2.12,6.52
231,LITH03626751-HWD38-115.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,2371.0,18100.0,,,3389.47,,,,,,1826.0,,,,,,,,,,,,,,,0.0,45.29,0.12,0.26,0.01,0.29,0.03,0.26,8.2,0.08,0.52,43.45
232,LITH03626751-BSD097-766.00,Dacite,Rock,-30.39,121.63,376,-766.0,-766.0,Unknown,Black Swan,"Black Swan Orebody, lower felsics",1.04,0.85,2.02,160.95,0.34,2.55,53.0,25.58,,0.36,22.91,,0.93,95.93,17.05,3.19,45.83,60.0,18.12,244.09,311.24,13.86,0.15,5.11,0.14,,,,,3.62,,,0.15,69.27,0.03,3.2,0.62,0.2,2.21,0.008724071,1.66,18.56,1.76,2.27
235,LITH03626751-Fort2015-94759,Dacite,Rock,-21.79,121.35,351,0.0,0.0,Unknown,Hamersley Basin North,,9.9,2.55,14.68,644.65,,15.5,54.06,0.0,0.0,3.25,112.2,0.0,10.4,9.18,81.6,18.05,214.2,0.0,91.9,15.3,0.0,60.2,1.6,,,,,5.1,,23.46,30.6,,0.11,76.29,0.08,0.13,0.41,0.41,7.21,0.0,3.34,11.22,0.08,0.68
236,LITH03626751-SSD667-195.4,Dacite,Rock,-28.74,121.26,415,0.0,0.0,Unknown,Sullivans South,Sullivans South Extension?,0.71,1.58,1.84,269.37,0.4,3.58,16.38,,,0.3,55.3,,0.71,68.62,,6.19,105.49,155.0,40.96,,,,0.1,11.67,0.1,,,,,11.88,4.6,,0.23,60.23,0.06,4.54,0.58,0.37,0.35,0.02,3.07,18.74,7.91,3.83
237,LITH03626751-AMP-HM-120525-026B,Basalt,Rock,-22.695822,117.88352,779,0.0,0.0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",3.18,1.12,4.91,143.66,0.78,4.88,82.24,46.78,93.76842,1.12,23.31,0.0,2.97,197.79,25.71,4.62,48.82,121.0,23.42,131.48,489.08,52.4,0.46,5.75,0.42,,4.26,29.14,,8.07,9.36,0.83,0.13,55.84,0.15,8.6,0.9,0.94,1.16,0.01,7.66,15.91,2.82,5.82
238,LITH03626751-BSD103-471.6,Dolerite,Rock,-30.39,121.63,376,-472.0,-472.0,Unknown,Black Swan,Southern Flank,,,,74.49,,,74.0,93.67,1700.0,,,,,167.32,17.19,,,212.0,,514.59,2712.79,42.26,,,,,,,,,,,0.1,49.43,0.16,12.41,0.71,1.04,1.83,0.03,8.44,18.07,0.56,7.16
240,LITH03626751-BBWD14-181.5,Dacite,Rock,-27.08,120.46,535,-182.0,-182.0,Unknown,Albion Downs,Boo Boo Well South,0.93,0.42,1.59,44.23,0.24,1.18,120.62,46.53,200.0,0.39,1.13,1300.98,0.97,211.1,15.07,1.34,3.83,3042.0,3.92,4.86,6.03,,0.14,0.72,0.16,0.01013,0.85,,0.01777,0.18,1.64,0.2,0.06,48.13,0.19,8.58,0.71,1.29,0.07,0.44,10.48,8.41,0.04,21.46
243,LITH03626751-EG 4512,Dolerite,Rock,-30.78,121.51,280,-585.0,-585.0,Unknown,Golden Mile Dolerite,unit5,2.42,0.75,3.93,53.17,0.67,3.2,79.35,28.21,400.0,0.8,2.96,,2.35,292.53,23.68,2.36,9.11,,7.46,54.59,146.5,47.06,0.33,1.33,0.34,,1.53,,,0.23,2.6,0.11,0.08,51.24,0.16,10.52,0.92,1.23,3.31,0.005192965,10.03,15.55,0.2,6.7
244,LITH03626751-HWD03-122.90,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,117.0,175.0,11900.0,,,2452.06,,,,,,4465.0,,,,141.0,,,,,,,,,,,0.0,46.41,0.4,4.96,0.06,0.73,0.09,0.65,9.02,4.11,0.16,33.84
245,LITH03626751-SXB04771,Basalt,Rock,-31.58,119.68,393,0.0,0.0,Unknown,Southern Cross Township,,5.9,2.04,8.73,69.64,1.3,8.99,210.1,67.11,,2.0,24.99,,4.86,222.57,,5.7,15.79,551.0,23.11,,,116.33,0.69,4.93,0.79,0.01046,0.0,,0.00523,2.3,3.13,0.0,0.01,54.81,0.27,8.0,0.69,1.2,0.44,0.08,9.74,15.37,2.56,6.74
246,LITH03626751-FOD2-196.9,Basalt,Rock,-32.27,119.74,426,0.0,0.0,Unknown,Antimony Nickel,Central,1.1,0.7,1.9,26.0,0.2,1.3,47.0,3.0,0.0,0.3,2.4,631.63,1.2,158.0,11.0,1.1,6.4,1327.0,4.5,6.0,,26.0,0.1,0.8,0.1,,,,,0.3,,,0.0,48.67,0.15,5.26,0.46,2.33,0.09,0.19,18.94,9.19,0.7,13.92
248,LITH03626751-BSD020-169.70,Dacite,Rock,-30.39,121.63,376,-170.0,-170.0,Unknown,Black Swan,"Silver Swan, upper felsics",,,,145.21,,,32.0,8.36,,,,,,56.41,11.49,,,44.0,,463.85,297.74,8.36,,,,,,,,,,,0.22,68.03,0.09,2.29,0.65,0.33,0.74,0.006412999,2.73,15.93,6.27,2.66
249,LITH03626751-AMP-HM-120521-003F,Basalt,Rock,-23.0958,117.87456,504,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.21,1.02,4.69,112.45,0.76,4.4,89.75,129.17,600.0,1.12,13.41,0.0,2.83,235.22,26.51,3.46,28.78,261.0,15.16,243.48,282.89,49.27,0.41,3.59,0.44,,3.09,33.01,,2.96,7.22,0.82,0.17,54.25,0.18,7.95,1.24,1.17,0.67,0.03,9.55,14.03,4.79,5.97
255,LITH03626751-SXB04757,Basalt,Rock,-31.22,119.31,351,-81.0,-81.0,Unknown,Southern Cross Township,"Target 31, SONS OF GWALIA LTD",1.54,0.57,2.26,45.65,0.3,1.85,82.63,,,0.49,2.15,754.28,1.49,190.06,,1.38,5.55,1358.0,4.37,,,71.59,0.2,0.88,0.22,0.01028,0.0,,0.04628,0.3,6.17,0.0,0.02,53.63,0.2,10.69,0.53,1.21,0.1,0.19,9.82,6.73,1.41,15.32
256,LITH03626751-GD001-338.0,Dolerite,Rock,-30.18,121.45,427,0.0,0.0,Unknown,Gindalbie,Red Dam channel,3.06,1.12,5.5,73.45,0.71,4.08,90.0,163.0,3400.0,1.02,2.95,,3.06,364.21,26.53,3.06,9.18,137.0,8.16,91.82,183.0,44.0,0.51,1.53,0.51,,,,,0.2,,,0.1,51.75,0.22,9.23,1.4,1.44,0.69,0.02,11.7,13.86,2.22,7.24
259,LITH03626751-HWD18-318.70,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,50.0,0.0,800.0,,,4279.38,,,,,,1169.0,,,,156.0,,,,,,,,,,,0.0,39.52,0.18,0.58,0.03,0.0,0.11,0.17,6.39,0.36,0.04,52.23
261,LITH03626751-HWD03-087.50,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,296.0,103.0,4200.0,,,2096.12,,,,,,2923.0,,,,114.0,,,,,,,,,,,0.0,47.81,0.18,6.63,0.14,0.84,0.02,0.42,8.7,5.01,0.14,30.08
262,LITH03626751-SXB04708,Rhyolite,Rock,-31.36,119.42,410,0.0,0.0,Unknown,Glendower,Target 32,0.05,,0.1,0.0,,,16.35,,600.0,0.02,0.5,,0.1,28.49,,0.1,0.81,1309.0,0.5,,,14.12,,0.12,,,0.0,,,0.71,1.01,0.0,0.006106986,94.65,0.02,0.09,0.15,0.25,0.02,0.19,2.05,2.21,0.06,0.27
263,LITH03626751-Fort2015-HM-109C,Basalt,Rock,-21.384321,117.15049,322,0.0,0.0,Unknown,Hamersley Basin North,HiTh Mafic North,3.01,1.3,4.72,115.96,0.74,4.49,81.79,96.18,100.0,0.98,17.18,0.0,2.72,202.93,26.09,4.07,35.09,326.0,17.49,333.7,821.26,46.43,0.43,4.27,0.41,,3.31,32.09,,4.65,6.52,0.62,0.1,54.4,0.16,8.13,0.88,1.08,2.25,0.04,8.8,14.94,2.51,6.64
264,LITH03626751-BSD016-441.40,Dacite,Rock,-30.39,121.64,374,-441.0,-441.0,Unknown,Black Swan,"Silver Swan, lower felsics",0.75,0.75,1.83,146.82,0.43,2.48,56.0,7.56,,0.32,15.11,,0.75,88.52,14.03,2.69,42.1,35.0,15.65,221.31,204.04,9.72,0.1,3.99,0.1,,,,,3.34,,,0.13,70.24,0.07,4.12,0.52,0.46,1.06,0.005049218,3.74,15.97,1.41,2.21
266,LITH03626751-AMP-HM-120522-006C,Basalt,Rock,-22.922512,117.36773,441,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.16,0.33,1.97,42.39,0.33,1.94,108.22,29.9,22.39743,0.45,4.12,0.0,1.26,117.15,10.82,1.47,9.14,4771.0,5.69,7.14,9.37,139.75,0.2,1.29,0.23,,1.33,15.62,,0.73,2.0,0.44,0.07,46.24,0.14,2.14,0.45,0.95,0.02,0.69,11.54,5.44,0.07,32.61
267,LITH03626751-BD04-175.15,Basalt,Rock,-32.5,119.68,393,0.0,0.0,Unknown,Boojum,"Western, U1",2.3,2.7,4.3,232.0,1.2,7.2,85.0,38.0,4400.0,0.9,54.0,417.75,1.8,133.0,23.0,8.8,116.0,486.0,50.0,58.0,165.0,195.0,0.4,15.0,0.3,,,,,11.7,,,0.0,47.73,0.32,16.92,0.92,1.04,0.56,0.07,8.45,11.24,0.5,11.45
268,LITH03626751-BSD061B-566.60,Dacite,Rock,-30.39,121.64,374,-567.0,-567.0,Unknown,Black Swan,"Silver Swan, lower felsics",1.22,4.54,4.79,307.26,1.08,11.3,65.0,11.06,300.0,0.63,117.98,,0.73,65.13,20.89,19.66,251.95,240.0,120.44,2144.68,1150.38,19.66,0.1,31.34,0.13,,,,,16.59,,,0.87,54.85,0.06,15.39,0.88,0.42,0.87,0.03,3.43,14.36,2.13,6.64
269,LITH03626751-BSD027A-559.2B,Dacite,Rock,-30.39,121.63,376,-559.0,-559.0,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",,,,57.19,,,174.0,13.0,300.0,,,,,187.9,5.84,,,479.0,,215.91,106.0,22.0,,,,,,,,,,,0.07,50.39,0.21,1.09,0.65,3.19,0.46,0.07,25.86,14.04,1.54,2.5
271,LITH03626751-HWD38-139.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,39.0,5400.0,,,3734.34,,,,,,1724.0,,,,,,,,,,,,,,,0.0,44.92,0.07,0.83,0.03,0.07,0.01,0.25,5.37,0.42,0.3,46.89
272,LITH03626751-FFD063-240.1,Andesite,Rock,-32.41,119.69,429,0.0,0.0,Unknown,Flying Fox,Western,,,,78.0,,,120.0,67.0,1100.0,,,,,232.0,20.0,,,,,59.0,50.0,60.0,0.0,,,,,,,,,,0.0,62.13,0.15,4.93,0.82,0.83,0.05,0.0,6.76,13.42,6.49,4.42
274,LITH03626751-CBD004-080.60,Basalt,Rock,-32.58,119.74,422,0.0,0.0,Unknown,Cosmic Boy,Eastern (N),,,,53.0,,,97.0,14.0,100.0,,,664.66,,234.0,17.0,,,1449.0,,109.0,271.0,67.0,,,,,,,,,,,0.0,53.08,0.18,9.65,0.68,1.0,1.67,0.21,8.1,9.64,1.41,14.3
275,LITH03626751-AMP-HM-120521-007A,Basalt,Rock,-22.924353,117.364395,428,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",4.69,2.51,6.65,143.52,1.02,5.99,92.18,82.76,62.93667,1.63,15.71,0.0,4.29,240.94,39.18,4.52,31.84,301.0,20.11,175.05,20.0,47.09,0.65,4.59,0.64,,4.08,31.42,,2.74,7.22,0.73,0.21,51.75,0.13,10.73,1.23,1.32,0.07,0.04,10.76,13.66,1.48,8.59
276,LITH03626751-FOD2-179.65,Basalt,Rock,-32.27,119.74,426,0.0,0.0,Unknown,Antimony Nickel,Central,1.7,0.5,2.8,53.0,0.3,1.8,42.0,,0.0,0.5,2.6,,1.9,246.0,17.0,1.6,7.8,278.0,6.4,84.0,18.0,35.0,0.2,1.1,0.2,,,,,0.5,,,0.0,53.67,0.14,8.39,0.79,1.42,0.15,0.04,11.53,12.62,2.78,8.42
278,LITH03626751-AMP-HM-120524-021C,Basalt,Rock,-21.387573,117.15229,333,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.15,0.71,4.79,127.75,0.76,4.72,91.4,82.85,62.37829,1.1,22.01,0.0,2.75,196.3,26.9,4.0,45.18,107.0,20.46,252.08,1915.6,52.29,0.41,5.28,0.48,,3.73,30.12,,7.11,8.1,0.83,0.1,56.39,0.12,4.66,0.83,0.99,2.88,0.01,8.09,16.28,3.71,5.87
279,LITH03626751-ELD003-172.7iii,Dacite,Rock,-30.28,121.95,429,-173.0,-173.0,Unknown,Emu Lake,,1.63,0.92,2.69,129.96,0.41,2.37,95.0,42.85,10900.0,0.51,14.79,,1.37,77.13,14.79,2.48,29.05,39.0,12.25,215.55,243.03,16.72,0.24,3.06,0.23,,,,,3.48,,,0.11,66.77,0.07,3.13,0.56,0.61,1.84,0.005714092,4.96,15.43,4.49,1.91
281,LITH03626751-AMP-HM-120527-031B,Basalt,Rock,-22.8023,117.84253,681,0.0,0.0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",3.58,1.42,5.57,119.56,0.89,5.04,95.65,70.55,83.25293,1.25,12.37,0.0,3.39,198.58,30.46,4.03,28.28,113.0,16.94,276.87,456.22,42.25,0.51,3.75,0.5,,3.63,27.03,,2.21,5.71,0.51,0.18,54.29,0.11,7.31,1.12,1.09,0.94,0.01,8.83,16.25,3.33,6.49
282,LITH03626751-AMP-HM-120529-051D,Basalt,Rock,-22.583422,117.88049,747,0.0,0.0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",3.9,1.57,6.27,166.08,0.94,5.47,53.64,3.61,20.65448,1.41,24.24,0.0,3.65,204.25,35.28,5.35,49.82,127.0,25.27,193.73,297.61,42.85,0.53,6.15,0.56,,4.74,27.85,,7.81,10.31,0.82,0.2,55.0,0.15,7.86,1.15,0.98,0.61,0.01,8.01,14.06,4.18,7.72
283,LITH03626751-AMP-HM-120525-026C,Basalt,Rock,-22.695543,117.88342,784,0.0,0.0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",3.25,1.06,5.19,140.76,0.82,5.05,86.54,61.04,100.0,1.13,25.54,0.0,2.98,201.23,28.04,4.9,53.07,128.0,23.77,150.46,369.0,49.25,0.47,6.12,0.44,,4.06,29.19,,7.74,9.07,0.83,0.13,55.39,0.15,8.39,0.88,0.99,0.75,0.01,8.09,15.93,2.99,6.25
284,LITH03626751-LMCD005-313.6,Basalt,Rock,-28.49,121.08,454,-314.0,-314.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.61,0.2,0.98,11.12,0.15,0.87,,30.46,600.0,0.2,1.28,2631.6,0.57,92.07,6.07,0.67,3.14,1800.0,2.24,15.17,,,0.08,0.45,0.08,0.00344,0.4,,0.00374,0.14,0.5,,0.02,45.33,0.17,2.69,0.24,0.65,0.02,0.26,9.78,4.87,0.03,35.71
285,LITH03626751-LMCD009-207.6,Basalt,Rock,-28.46,120.98,421,-208.0,-208.0,Unknown,Mount Clifford/Marshall Pool,"Mount Clifford dunite/gabbro complex, MCD Reef, SCOTIA NICKEL LTD",0.08,0.03,0.14,,0.02,0.11,,10.63,700.0,0.03,0.11,3652.74,0.09,45.55,,0.09,0.32,8508.0,0.28,3.5,,,0.01,0.04,0.01,0.33165,,,4.13115,,,,0.03,44.23,0.1,0.7,0.04,0.09,0.04,1.24,5.93,1.33,0.08,46.08
289,LITH03626751-AMP-HM-120528-042,Basalt,Rock,-23.195978,117.689445,409,0.0,0.0,Unknown,Paraburdoo West,"South of Tom Price Syncline, South Hamersley Basin",1.27,0.33,1.95,44.55,0.31,1.67,77.44,1.27,100.0,0.43,2.44,0.0,1.02,108.21,10.18,1.45,5.62,3666.0,4.77,10.92,39.46,97.76,0.21,0.93,0.18,,1.27,15.91,,0.68,2.12,0.21,0.07,50.67,0.16,9.1,0.45,1.19,0.01,0.53,9.71,6.07,0.07,22.25
292,LITH03626751-AMP-HM-120524-023C,Basalt,Rock,-21.408455,117.15948,337,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.09,1.04,4.87,127.24,0.74,4.33,93.86,75.87,100.0,1.03,22.32,0.0,2.81,190.86,26.38,4.21,45.16,107.0,21.06,191.7,295.79,52.08,0.43,5.16,0.42,,3.65,29.2,,7.02,8.13,0.73,0.1,56.13,0.14,7.81,0.82,1.01,0.98,0.01,8.2,16.1,3.25,5.41
293,LITH03626751-LMCD005-216.8,Basalt,Rock,-28.49,121.08,454,-207.0,-207.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.66,0.13,1.11,11.39,0.16,0.96,,53.5,2300.0,0.22,0.68,2768.62,0.6,99.16,4.55,0.69,2.07,2074.0,1.89,6.83,,,0.08,0.35,0.09,0.01458,0.45,,0.02083,0.09,0.56,,0.02,45.51,0.15,2.37,0.22,0.52,0.01,0.3,8.64,4.88,0.04,37.13
294,LITH03626751-HWD03-135.20,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,71.0,12.0,5300.0,,,3754.51,,,,,,3814.0,,,,140.0,,,,,,,,,,,0.0,45.65,0.18,0.27,0.09,0.06,0.08,0.55,4.6,1.2,0.11,47.09
301,LITH03626751-HWD26A-126.60,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,25.0,0.0,1000.0,,,4152.48,,,,,,1645.0,,,,105.0,,,,,,,,,,,0.0,42.89,0.12,0.37,0.06,0.0,0.15,0.24,4.22,0.5,0.01,50.99
302,LITH03626751-SXB04781,Basalt,Rock,-31.4,119.46,432,0.0,0.0,Unknown,May Queen,Target 39,0.37,0.1,0.59,15.87,0.1,0.42,60.34,17.32,,0.12,2.03,,0.37,90.12,,0.48,2.03,4126.0,1.98,,,127.59,0.06,0.51,0.06,,0.0,,,0.53,3.75,0.0,0.006438078,63.52,0.12,1.28,0.37,1.21,0.04,0.6,9.81,5.94,0.26,16.63
303,LITH03626751-CBD056A-321.10,Basalt,Rock,-32.58,119.74,422,0.0,0.0,Unknown,Cosmic Boy,Eastern (N),1.42,0.57,2.36,41.0,0.36,1.65,89.0,74.0,1100.0,0.55,3.01,601.41,1.33,216.0,15.0,1.65,6.98,974.0,5.16,66.0,10.0,66.0,0.2,1.1,0.21,,,24.0,,,,,0.0,51.39,0.24,11.65,0.67,1.54,0.04,0.14,12.55,7.62,0.56,13.57
304,LITH03626751-AMP-HM-120522-011,Basalt,Rock,-22.76305,117.49835,498,0.0,0.0,Unknown,Rocklea Dome North,"South of Tom Price Syncline, South Hamersley Basin",3.64,1.4,5.9,160.86,0.93,5.47,85.1,64.61,62.3297,1.29,27.29,0.0,3.49,207.56,31.34,5.09,55.73,113.0,24.9,254.27,461.21,44.98,0.57,6.44,0.59,,4.67,31.13,,8.56,9.75,1.03,0.14,56.48,0.15,9.38,0.94,1.0,1.26,0.01,8.16,15.43,1.44,5.56
307,LITH03626751-HWD16-387.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,18.0,0.0,500.0,,,4250.23,,,,,,1440.0,,,,127.0,,,,,,,,,,,0.0,42.33,0.06,0.1,0.01,0.0,0.06,0.21,4.7,0.18,0.02,51.94
308,LITH03626751-BSD027-235.50,Dacite,Rock,-30.39,121.63,376,-236.0,-236.0,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",1.03,0.9,2.04,165.78,0.34,2.58,46.0,15.06,600.0,0.36,19.37,,0.83,88.27,19.37,3.22,40.9,61.0,19.37,159.33,296.05,9.68,0.13,4.73,0.15,,,,,2.63,,,0.25,61.13,0.09,3.46,0.75,0.89,2.79,0.008968557,7.22,18.12,3.05,2.17
309,LITH03626751-GSWA-165367,Basalt,Rock,-28.07,119.23,514,0.0,0.0,Unknown,Sandstone Belt,,1.86,0.78,3.09,54.8,0.54,3.01,70.59,82.57,84.696,0.67,3.82,0.0,1.55,269.8,17.38,2.19,10.1,2179.0,7.42,44.25,224.48,0.0,0.23,1.39,,0.01643,1.58,37.93,0.0137,0.42,2.52,0.1,0.07,53.44,0.15,6.75,0.76,1.08,1.8,0.31,8.78,9.46,3.07,14.21
311,LITH03626751-BSD100-441.7,Dolerite,Rock,-30.39,121.63,376,-441.7,-441.7,Unknown,Black Swan,Mafic intrusives-Gosling area,,,,76.24,,,83.0,81.95,78.58277,,,,,170.42,12.33,,,223.0,,180.51,135.66,43.78,,,,,,,,,,,0.1,52.84,0.15,6.72,0.67,1.06,0.17,0.03,8.66,17.13,5.24,7.16
312,LITH03626751-AMP-HM-120521-003L,Basalt,Rock,-23.0958,117.87456,504,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.44,2.0,6.0,112.59,0.99,6.47,62.91,52.62,2400.0,1.29,17.22,0.0,3.04,243.95,30.35,5.07,38.74,332.0,23.07,40.06,109.83,48.78,0.46,5.09,0.48,,3.31,35.32,,1.99,6.18,0.77,0.22,49.82,0.19,13.94,1.51,1.0,0.67,0.04,8.14,13.98,4.24,6.38
313,LITH03626751-Fort2015-HM-108,Basalt,Rock,-21.440117,117.15684,325,0.0,0.0,Unknown,Hamersley Basin North,HiTh Mafic North,3.0,1.19,4.76,132.4,0.72,4.55,85.48,76.39,100.0,1.02,21.58,0.0,2.92,197.04,27.52,4.49,42.22,136.0,20.01,271.48,677.14,50.51,0.39,5.04,0.4,,3.64,29.19,,6.19,7.61,0.62,0.1,55.1,0.14,7.7,0.82,1.07,1.2,0.01,8.7,15.48,3.38,6.22
314,LITH03626751-SXB04683,Andesite,Rock,-31.173912,119.256645,381,0.0,0.0,Unknown,Bullfinch,,20.2,3.26,24.56,107.33,3.31,17.61,83.26,24.88,300.0,6.5,21.96,,16.78,272.73,,7.72,23.83,113.0,22.48,,,43.13,2.57,4.33,2.88,,0.0,,,3.0,5.18,0.0,0.04,59.27,0.14,7.31,1.11,1.21,0.32,0.01,9.86,13.88,2.0,4.79
316,LITH03626751-AMP-HM-120522-006D,Basalt,Rock,-22.922611,117.36768,441,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.31,0.39,1.9,39.48,0.3,1.87,111.68,4.86,45.28447,0.45,3.94,0.0,1.17,112.81,10.71,1.64,9.25,4932.0,5.86,5.3,8.57,136.07,0.23,1.28,0.19,,1.24,14.66,,0.74,2.03,0.45,0.07,45.85,0.15,1.79,0.43,0.87,0.02,0.72,11.49,5.09,0.07,33.82
318,LITH03626751-BSD038-191.2,Dacite,Rock,-30.39,121.63,376,-191.0,-191.0,Unknown,Black Swan,"Cygnet, Silver Swan-Cygnet",,,,143.89,,,37.0,28.0,,,,,,85.7,14.81,,,68.0,,295.2,184.0,15.0,,,,,,,,,6.0,,0.31,66.68,0.06,2.05,0.68,0.51,0.21,0.01,4.1,14.53,5.33,5.53
